IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,274,5.76
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,269,5.76
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,316,5.76
34.116.203.238,443,443,true,FRA,Europe,Frankfurt,275,5.76
34.154.189.124,443,443,true,FRA,Europe,Frankfurt,269,5.76
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,265,5.75
34.65.131.249,443,443,true,FRA,Europe,Frankfurt,245,5.75
34.154.119.99,443,443,true,FRA,Europe,Frankfurt,244,5.75
34.91.45.105,443,443,true,FRA,Europe,Frankfurt,258,5.75
34.65.230.9,443,443,true,FRA,Europe,Frankfurt,245,5.73
34.91.107.241,443,443,true,FRA,Europe,Frankfurt,303,5.73
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,261,5.73
34.116.133.90,443,443,true,FRA,Europe,Frankfurt,345,5.73
34.116.210.146,443,443,true,FRA,Europe,Frankfurt,264,5.72
34.116.244.155,443,443,true,FRA,Europe,Frankfurt,311,5.72
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,250,5.72
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,245,5.72
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,251,5.72
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,264,5.71
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,274,5.71
34.65.122.169,443,443,true,FRA,Europe,Frankfurt,260,5.71
34.116.223.193,443,443,true,FRA,Europe,Frankfurt,269,5.70
34.89.249.91,443,443,true,FRA,Europe,Frankfurt,260,5.70
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,349,5.70
34.116.181.51,443,443,true,FRA,Europe,Frankfurt,268,5.69
34.118.14.212,443,443,true,FRA,Europe,Frankfurt,270,5.68
34.116.195.106,443,443,true,FRA,Europe,Frankfurt,273,5.68
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,268,5.68
34.118.40.210,443,443,true,FRA,Europe,Frankfurt,357,5.68
34.116.186.249,443,443,true,FRA,Europe,Frankfurt,339,5.67
34.90.17.6,443,443,true,FRA,Europe,Frankfurt,256,5.67
34.118.75.185,443,443,true,FRA,Europe,Frankfurt,268,5.67
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,314,5.66
34.154.31.255,443,443,true,FRA,Europe,Frankfurt,244,5.65
34.91.85.157,443,443,true,FRA,Europe,Frankfurt,310,5.64
34.118.82.157,443,443,true,FRA,Europe,Frankfurt,267,5.64
34.147.33.246,443,443,true,FRA,Europe,Frankfurt,260,5.64
34.154.183.62,443,443,true,FRA,Europe,Frankfurt,252,5.63
34.118.71.7,443,443,true,FRA,Europe,Frankfurt,264,5.63
34.154.11.107,443,443,true,FRA,Europe,Frankfurt,254,5.63
34.118.37.55,443,443,true,FRA,Europe,Frankfurt,269,5.63
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,134,5.62
34.90.206.159,443,443,true,FRA,Europe,Frankfurt,258,5.62
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,356,5.62
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,261,5.61
34.91.69.135,443,443,true,FRA,Europe,Frankfurt,256,5.60
34.65.203.90,443,443,true,FRA,Europe,Frankfurt,245,5.60
34.116.141.3,443,443,true,FRA,Europe,Frankfurt,363,5.59
34.118.47.39,443,443,true,FRA,Europe,Frankfurt,268,5.58
34.154.112.73,443,443,true,FRA,Europe,Frankfurt,245,5.58
34.116.154.245,443,443,true,FRA,Europe,Frankfurt,378,5.57
34.91.215.133,443,443,true,FRA,Europe,Frankfurt,251,5.57
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,249,5.56
34.90.66.199,443,443,true,FRA,Europe,Frankfurt,255,5.56
34.116.190.16,443,443,true,FRA,Europe,Frankfurt,261,5.56
34.118.40.250,443,443,true,FRA,Europe,Frankfurt,261,5.55
34.154.173.201,443,443,true,FRA,Europe,Frankfurt,249,5.55
34.91.217.220,443,443,true,FRA,Europe,Frankfurt,253,5.54
34.141.236.60,443,443,true,FRA,Europe,Frankfurt,260,5.54
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,274,5.54
34.118.53.102,443,443,true,FRA,Europe,Frankfurt,345,5.53
34.154.205.28,443,443,true,FRA,Europe,Frankfurt,252,5.53
34.116.177.76,443,443,true,FRA,Europe,Frankfurt,269,5.53
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,250,5.53
34.118.124.90,443,443,true,FRA,Europe,Frankfurt,269,5.52
34.116.133.90,443,443,true,FRA,Europe,Frankfurt,267,5.52
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,252,5.51
34.91.37.222,443,443,true,FRA,Europe,Frankfurt,251,5.51
34.154.70.101,443,443,true,FRA,Europe,Frankfurt,250,5.51
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,264,5.50
34.118.39.4,443,443,true,FRA,Europe,Frankfurt,268,5.50
34.65.70.151,443,443,true,FRA,Europe,Frankfurt,253,5.49
34.90.124.144,443,443,true,FRA,Europe,Frankfurt,304,5.49
34.116.166.1,443,443,true,FRA,Europe,Frankfurt,262,5.48
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,344,5.47
34.118.2.183,443,443,true,FRA,Europe,Frankfurt,269,5.46
34.116.179.105,443,443,true,FRA,Europe,Frankfurt,268,5.46
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,329,5.44
34.154.164.222,443,443,true,FRA,Europe,Frankfurt,253,5.43
34.90.124.144,443,443,true,FRA,Europe,Frankfurt,260,5.43
34.90.122.86,443,443,true,FRA,Europe,Frankfurt,254,5.42
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,336,5.42
34.90.66.199,443,443,true,FRA,Europe,Frankfurt,257,5.42
34.118.17.244,443,443,true,FRA,Europe,Frankfurt,274,5.41
34.66.72.229,443,443,true,ORD,North America,Chicago,188,5.40
34.116.138.163,443,443,true,FRA,Europe,Frankfurt,339,5.40
35.204.46.220,443,443,true,FRA,Europe,Frankfurt,252,5.38
34.118.62.63,443,443,true,FRA,Europe,Frankfurt,268,5.38
34.116.198.118,443,443,true,FRA,Europe,Frankfurt,351,5.38
34.154.178.83,443,443,true,FRA,Europe,Frankfurt,251,5.37
34.118.105.216,443,443,true,FRA,Europe,Frankfurt,261,5.35
34.116.215.179,443,443,true,FRA,Europe,Frankfurt,273,5.33
34.118.106.179,443,443,true,FRA,Europe,Frankfurt,269,5.32
34.118.36.94,443,443,true,FRA,Europe,Frankfurt,276,5.31
34.154.27.72,443,443,true,FRA,Europe,Frankfurt,257,5.31
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,362,5.30
34.118.71.7,443,443,true,FRA,Europe,Frankfurt,261,5.30
34.116.214.3,443,443,true,FRA,Europe,Frankfurt,272,5.30
34.116.244.155,443,443,true,FRA,Europe,Frankfurt,262,5.30
34.116.154.245,443,443,true,FRA,Europe,Frankfurt,269,5.29
34.154.183.252,443,443,true,FRA,Europe,Frankfurt,262,5.28
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,255,5.27
34.65.131.249,443,443,true,FRA,Europe,Frankfurt,248,5.27
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,265,5.26
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,275,5.26
34.154.71.105,443,443,true,FRA,Europe,Frankfurt,270,5.25
34.116.198.161,443,443,true,FRA,Europe,Frankfurt,356,5.25
34.116.205.19,443,443,true,FRA,Europe,Frankfurt,265,5.24
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,343,5.23
34.116.205.19,443,443,true,FRA,Europe,Frankfurt,369,5.23
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,264,5.22
34.118.2.147,443,443,true,FRA,Europe,Frankfurt,270,5.22
34.116.244.240,443,443,true,FRA,Europe,Frankfurt,264,5.21
34.116.132.90,443,443,true,FRA,Europe,Frankfurt,277,5.20
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,268,5.20
34.118.2.147,443,443,true,FRA,Europe,Frankfurt,356,5.17
34.116.179.255,443,443,true,FRA,Europe,Frankfurt,268,5.17
34.116.223.193,443,443,true,FRA,Europe,Frankfurt,341,5.17
34.65.70.151,443,443,true,FRA,Europe,Frankfurt,250,5.16
34.65.122.169,443,443,true,FRA,Europe,Frankfurt,254,5.16
34.116.244.240,443,443,true,FRA,Europe,Frankfurt,326,5.15
34.116.186.249,443,443,true,FRA,Europe,Frankfurt,266,5.13
34.118.40.210,443,443,true,FRA,Europe,Frankfurt,280,5.13
34.116.182.5,443,443,true,FRA,Europe,Frankfurt,357,5.11
34.91.69.135,443,443,true,FRA,Europe,Frankfurt,251,5.11
35.198.74.92,443,443,true,FRA,Europe,Frankfurt,252,5.10
34.118.105.216,443,443,true,FRA,Europe,Frankfurt,261,5.10
34.118.41.156,443,443,true,FRA,Europe,Frankfurt,275,5.09
34.91.215.133,443,443,true,FRA,Europe,Frankfurt,257,5.08
34.118.14.212,443,443,true,FRA,Europe,Frankfurt,360,5.08
34.116.177.76,443,443,true,FRA,Europe,Frankfurt,338,5.08
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,264,5.08
34.116.203.238,443,443,true,FRA,Europe,Frankfurt,340,5.06
34.116.248.189,443,443,true,FRA,Europe,Frankfurt,342,5.06
