IP:PORT, LOSS, DELAY
162.159.195.110:946,0.00%,247 ms
162.159.195.24:3138,0.00%,248 ms
162.159.192.45:3138,0.00%,249 ms
188.114.98.234:3138,0.00%,249 ms
162.159.195.24:946,0.00%,251 ms
188.114.98.55:946,0.00%,251 ms
188.114.98.224:3138,0.00%,254 ms
188.114.98.179:946,0.00%,254 ms
188.114.97.152:3138,0.00%,255 ms
162.159.195.14:946,0.00%,255 ms
188.114.98.26:3138,0.00%,257 ms
188.114.98.224:946,0.00%,257 ms
188.114.97.152:946,0.00%,258 ms
188.114.98.87:946,0.00%,258 ms
188.114.99.128:946,0.00%,259 ms
162.159.192.167:3138,0.00%,259 ms
162.159.195.100:3138,0.00%,259 ms
188.114.99.128:3138,0.00%,259 ms
162.159.195.99:946,0.00%,259 ms
188.114.98.180:3138,0.00%,261 ms
162.159.192.194:946,0.00%,261 ms
162.159.195.55:3138,0.00%,262 ms
162.159.192.211:3138,0.00%,262 ms
188.114.98.180:946,0.00%,263 ms
162.159.192.11:3138,0.00%,264 ms
188.114.96.10:946,0.00%,265 ms
188.114.99.29:3138,0.00%,266 ms
162.159.192.52:946,0.00%,267 ms
162.159.192.167:946,0.00%,268 ms
162.159.195.237:946,0.00%,268 ms
188.114.96.181:3138,0.00%,268 ms
162.159.195.38:946,0.00%,269 ms
188.114.99.177:3138,0.00%,269 ms
188.114.99.93:3138,0.00%,270 ms
188.114.97.72:946,0.00%,271 ms
188.114.96.75:946,0.00%,271 ms
162.159.192.69:946,0.00%,272 ms
162.159.192.155:946,0.00%,273 ms
188.114.97.183:946,0.00%,273 ms
188.114.99.3:946,0.00%,273 ms
188.114.99.3:3138,0.00%,274 ms
188.114.97.235:946,0.00%,274 ms
188.114.96.13:3138,0.00%,275 ms
188.114.97.235:3138,0.00%,275 ms
162.159.195.52:946,0.00%,276 ms
162.159.192.249:3138,0.00%,276 ms
188.114.98.57:946,0.00%,277 ms
188.114.99.66:3138,0.00%,277 ms
188.114.99.158:3138,0.00%,277 ms
188.114.96.77:3138,0.00%,277 ms
188.114.97.183:3138,0.00%,277 ms
188.114.96.159:3138,0.00%,279 ms
162.159.192.249:946,0.00%,281 ms
188.114.99.28:3138,0.00%,281 ms
188.114.97.128:946,0.00%,282 ms
162.159.195.92:3138,0.00%,282 ms
188.114.97.150:3138,0.00%,283 ms
188.114.96.23:946,0.00%,283 ms
188.114.98.166:946,0.00%,284 ms
162.159.192.160:3138,0.00%,285 ms
162.159.192.160:946,0.00%,285 ms
188.114.96.23:3138,0.00%,286 ms
162.159.195.92:946,0.00%,287 ms
162.159.195.13:946,0.00%,288 ms
188.114.98.242:946,0.00%,288 ms
162.159.192.172:946,0.00%,288 ms
188.114.96.75:3138,0.00%,290 ms
162.159.192.220:3138,0.00%,290 ms
188.114.96.145:946,0.00%,291 ms
188.114.96.21:946,0.00%,293 ms
188.114.99.173:946,0.00%,293 ms
188.114.98.41:3138,10.00%,322 ms
188.114.98.234:946,10.00%,323 ms
188.114.96.239:946,10.00%,325 ms
188.114.96.239:3138,10.00%,326 ms
188.114.98.41:946,10.00%,328 ms
162.159.195.110:3138,10.00%,328 ms
188.114.97.108:3138,10.00%,331 ms
